16/07/2019 - 11:30:17 PM	William(Citizen) said '/dropweapon'
16/07/2019 - 11:30:29 PM	Dio(Admin On Duty) said '/rpname Dio'
16/07/2019 - 11:30:42 PM	William(Citizen) said 'fixed what'
16/07/2019 - 11:30:43 PM	Blumbing(Gun Dealer) changed his team from 'Robber' to 'Gun Dealer'
16/07/2019 - 11:30:43 PM	William(Citizen) said 'oh'
16/07/2019 - 11:30:54 PM	William(Citizen) said 'i changed the mod job'
16/07/2019 - 11:30:54 PM	Blumbing(Gun Dealer) said '/buyshipment Galil'
16/07/2019 - 11:30:54 PM	Blumbing(Gun Dealer) bought 'Galil' shipment for $6000
16/07/2019 - 11:30:54 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:30:55 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:30:55 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:30:56 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:30:56 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:30:56 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:30:57 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:30:57 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:30:57 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:30:58 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:30:58 PM	Blumbing(Gun Dealer) said '/buyshipment Remington 870'
16/07/2019 - 11:30:58 PM	Blumbing(Gun Dealer) bought 'Remington 870' shipment for $6000
16/07/2019 - 11:30:58 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:30:58 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:30:58 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:30:58 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:30:59 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:30:59 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:30:59 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:30:59 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:00 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:00 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:00 PM	UG | M A S T E R(Citizen) said '/pm will You checked my dm! Also mistforums has connected successfully!'
16/07/2019 - 11:31:00 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:00 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 27 damage using fas2_galil
16/07/2019 - 11:31:00 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 27 damage using fas2_galil
